giornata,data,ora,teamA,teamB,pt A,pt B,teamA_slug,teamB_slug
5°GIORNATA,DOMENICA 25 OTTOBRE,Ore 19.30 ,Allianz Trieste,Happy Casa Brindisi,76,79,Trieste,Brindisi
5°GIORNATA,DOMENICA 25 OTTOBRE,Ore 20.45 ,Dolomiti Energia Trento,Vanoli Cremona,85,83,Trento,Cremona
6°GIORNATA,DOMENICA 1 NOVEMBRE,Ore 17.00 ,Umana Reyer Venezia,Virtus Bologna,68,83,Venezia,Virtus Bologna
6°GIORNATA,DOMENICA 1 NOVEMBRE,Ore 17.30 ,A|X Armani Exchange Milano,Dolomiti Energia Trento,82,75,Milano,Trento
6°GIORNATA,DOMENICA 1 NOVEMBRE,Ore 18.00 ,Unahotels Reggio Emilia,De’Longhi Treviso,98,74,Emilia,Treviso
6°GIORNATA,DOMENICA 1 NOVEMBRE,Ore 18.00 ,Carpegna Prosciutto Pesaro,Vanoli Cremona,95,83,Pesaro,Cremona
6°GIORNATA,DOMENICA 1 NOVEMBRE,Ore 19.00 ,Banco di Sardegna Sassari,Openjobmetis Varese,104,82,Sassari,Varese
6°GIORNATA,DOMENICA 1 NOVEMBRE,Ore 20.45 ,Happy Casa Brindisi,Fortitudo Lavoropiù Bologna,100,74,Brindisi,Fortitudo Bologna
6°GIORNATA,DOMENICA 1 NOVEMBRE,Ore 20.46,Unahotels Reggio Emilia,De’Longhi Treviso,98,74,Emilia,Treviso
7°GIORNATA,SABATO 7 NOVEMBRE,Ore 20.00 ,Virtus Bologna,Happy Casa Brindisi,88,98,Virtus Bologna,Brindisi
7°GIORNATA,SABATO 7 NOVEMBRE,Ore 20.00 ,Dolomiti Energia Trento,Banco di Sardegna Sassari,92,78,Trento,Sassari
7°GIORNATA,SABATO 7 NOVEMBRE,Ore 20.30 ,Fortitudo Lavoropiù Bologna,De’Longhi Treviso,87,98,Fortitudo Bologna,Treviso
7°GIORNATA,DOMENICA 8 NOVEMBRE,Ore 17.00 ,A|X Armani Exchange Milano,Germani Brescia,87,56,Milano,Brescia
7°GIORNATA,DOMENICA 8 NOVEMBRE,Ore 20.45 ,Carpegna Prosciutto Pesaro,Openjobmetis Varese,85,78,Pesaro,Varese
7°GIORNATA,DOMENICA 8 NOVEMBRE,RINVIATA ,Vanoli Cremona,Acqua S.Bernardo Cantù,101,67,Cremona,Cantù
7°GIORNATA,DOMENICA 8 NOVEMBRE,RINVIATA ,Allianz Trieste,Unahotels Reggio Emilia,78,69,Trieste,Emilia
8°GIORNATA,SABATO 14 NOVEMBRE,RINVIATA ,Umana Reyer Venezia,Allianz Trieste,81,66,Venezia,Trieste
8°GIORNATA,MERCOLEDì 30 DICEMBRE ,Ore 18.15,Virtus Bologna,Carpegna Prosciutto Pesaro,100,80,Virtus Bologna,Pesaro
8°GIORNATA,DOMENICA 15 NOVEMBRE,Ore 12.00 ,Banco di Sardegna Sassari,Happy Casa Brindisi,87,100,Sassari,Brindisi
8°GIORNATA,DOMENICA 15 NOVEMBRE,Ore 18.00 ,Acqua S.Bernardo Cantù,A|X Armani Exchange Milano,71,89,Cantù,Milano
8°GIORNATA,DOMENICA 15 NOVEMBRE,Ore 20.45 ,Germani Brescia,Dolomiti Energia Trento,73,80,Brescia,Trento
8°GIORNATA,DOMENICA 15 NOVEMBRE,RINVIATA ,De’Longhi Treviso,Vanoli Cremona,101,90,Treviso,Cremona
8°GIORNATA,DOMENICA 15 NOVEMBRE,RINVIATA ,Unahotels Reggio Emilia,Fortitudo Lavoropiù Bologna,79,69,Emilia,Fortitudo Bologna
9°GIORNATA,SABATO 21 NOVEMBRE,RINVIATA ,Allianz Trieste,De’Longhi Treviso,84,79,Trieste,Treviso
9°GIORNATA,DOMENICA 22 NOVEMBRE,Ore 16.00 ,A|X Armani Exchange Milano,Umana Reyer Venezia,86,72,Milano,Venezia
